question,answer,
Một vật đồng thời thực hiện hai dao động điều hoà cùng phương cùng tần số có phương trình x1= 4sin(8t + π/6) cm; x2=4cos(8t) cm (t đo bằng giây). Tốc độ cực đại của vật là,"Ta đưa phương trình x1 về dạng chuẩn của dao động điều hòa x = Acos(ωt + φ)
x1 = 4sin(8t + π/6) = 4cos(8t + π/6 - π/2) = 4cos(10t - π/3) cm
Biên độ tổng hợp A = √[A1^2 + A2^2 +2A1*A2*cos(φ2 - φ1)] (1)
Thay A1 = 4, A2 = 4, φ1 = -π/3, φ2 = 0 vào (1), ta có: A = 4√3 (cm)
Tốc độ cực đại: vmax = A.ω = 4√3.8 = 32√3 (cm/s)
*Lưu ý: sin(α) = cos(α - π/2) ",
Một vật dao động điều hòa với phương trình x = 8cos(πt) (cm). Tốc độ trung bình trong 1/4 chu kì kể từ lúc t0 = 0 là,"Tại thời điểm t0 = 0: x = 8cos(π*0) = 8 cm
=> Vật đang ở biên dương
Sau một khoảng thời gian t = T/4 vật sẽ ở vị trí cân bằng => Quãng đường đi được là A = 8 cm
Dựa vào phương trình, ta có:
ω = π => T = 2π/ω = 2 (s)
Vận tốc trung bình: vtb = A/t = 16 (cm/s)
*Lưu ý: Trong 1 chu kì T, vật đi được quãng đường 4A",
Một chất điểm dao động điều hòa với tần số 5 Hz trên quỹ đạo là một đoạn thẳng dài 4 cm. Vận tốc của chất điểm có độ lớn cực đại bằng,"Đoạn thẳng L = 2A = 4 cm => A = 2 (cm)
ω = 2πf = 10π (rad/s)
vmax = A.ω = 2.10π = 20π (cm/s)",
"Một vật dao động điều hòa có phương trình x = 2cos(2πt – π/6) cm. Lấy π^2 = 10, gia tốc của vật tại thời điểm t = 0,25 (s) là","Phương trình gia tốc: a = -ω^2.x = -(2π)^2.2cos(2πt - π/6) = -(8π^2).cos(2πt - π/6) = -80cos(2πt - π/6) cm/s^2
Thay t = 0,25 (s) vào phương trình (1), ta có a = -40 (cm/s^2)",
Một vật dao động điều hòa có phương trình x = 5cos(2πt – π/6) cm. Vận tốc của vật khi có li độ x = 3 cm là,"Từ phương trình x, ta có: A = 5 cm, ω = 2π (rad/s)
Áp dụng công thức độc lập khi li độ x = 3 cm: v = ±ω√(A^2 - x^2) = ±8π (cm/s)
*Lưu ý: Nguồn gốc của công thức độc lập được rút ra từ 2 phương trình x = Acos(ωt + φ) và v = -Aωsin(ωt + φ). Ta đưa cos(ωt + φ) và sin(ωt + φ) về 1 vế và áp dụng công thức cos(x)^2 + sin(x)^2 = 1. Từ đó ta có (x/A)^2 + (v/Aω)^2 = 1 => rút v ta được công thức độc lập như trên.",
Một vật dao động điều hòa có phương trình x = 5cos(2πt – π/6) cm. Lấy π^2 = 10. Gia tốc của vật khi có li độ x = 3 cm là,"Từ phương trình x, ta có: ω = 2π (rad/s)
Phương trình gia tốc (với li độ x = 3 cm): a = -ω^2.x = -(2π)^2.3 = -12π^2 = -120 (cm/s^2)
",
Một vật dao động điều hoà theo phương trình x = 4cos(7πt + π/6) cm. Vận tốc và gia tốc của vật ở thời điểm t = 2 s là,"Ta có: ω = 7π (rad/s), A = 4 (cm)
Tại thời điểm t = 2 s, ta có: x = 4cos(7π.2 + π/6) = 2√3 (cm)
Vận tốc: v = -Aωsin(ωt + φ) = -14π (cm/s)
Gia tốc: a = -ω^2.x = -(7π)^2.2√3 = -98π^2.√3 (cm/s^2)
",
Một vật dao động điều hoà theo phương trình x = 8cos(2πt – π/2) cm. Vận tốc và gia tốc của vật khi vật đi qua li độ 4√3 cm là,"Từ phương trình x, ta có: A = 8 cm, ω = 2π (rad/s)
Áp dụng công thức độc lập khi li độ x = 4√3 cm: v = ±ω√(A^2 - x^2) = ±8π (cm/s)
Gia tốc: a = -ω^2.x = -(2π)^2.4√3 = -16π^2.√3 (cm/s^2)
*Lưu ý: Nguồn gốc của công thức độc lập được rút ra từ 2 phương trình x = Acos(ωt + φ) và v = -Aωsin(ωt + φ). Ta đưa cos(ωt + φ) và sin(ωt + φ) về 1 vế và áp dụng công thức cos(x)^2 + sin(x)^2 = 1. Từ đó ta có (x/A)^2 + (v/Aω)^2 = 1 => rút v ta được công thức độc lập như trên.",
"Một vật tham gia đồng thời hai dao động điều hòa cùng phương, cùng tần số:x1 = 4cos(10t + π/2) cm, x2 = a.cos(10t-π/6) cm, t tính bằng giây. Biết gia tốc cực đại của vật là 400√3 (cm/s2). Tính a","Ta có: ω = 10 (rad/s), amax = A.ω^2 = 400√3 (cm/s^2)
=> A = amax/ω^2 =4√3 (cm)
Biên độ tổng hợp A = √[A1^2 + a^2 +2A1*a*cos(φ2 - φ1)] = 4√3 (1)
Thay A1 = 4, A2 = a, φ1 = π/2, φ2 = -π/6 vào (1), ta có: a = 8 cm hoặc a = -4 cm (loại vì a > 0). Vậy a = 8 cm",
"Một chất điểm tham gia đồng thời hai dao động điều hòa cùng phương 
cùng tần số. Dao động thứ nhất có phương trình li độ x1 = A1cos(ωt+ φ1) (cm); dao động thứ hai có phương trình li độ x2 = A2cos(ωt+ φ2) (cm). Biết 3x1^2+x2^2=12. Khi dao động thứ nhất có li độ 1 cm và tốc độ 12cm/s thì dao động thứ hai có tốc độ bằng","Ta có: 3x1^2 + x2^2=12 (1)
Đạo hàm 2 vế theo thời gian, ta có:
6.x1.v1 + 2.x2.v2 = 0
<=> 3x1v1 + x2v2 = 0 (2)
Thay x1 = 1 vào (1) => x2 = ±3 (cm)
Thay x1 = 1,  x2 = ±3, v1 = 12 vào (2), ta được v2 = 12 (cm/s) khi x2 = -3 (cm) và v2 = -12 (cm/s) khi x2 = 3 (cm)
Vì tốc độ luôn dương nên ta chọn v = 12 cm/s",
"Một vật thực hiện đồng thời hai dao động điều hòa cùng phương, cùng tần số 10 Hz với các biên độ thành phần là 7 cm và 8 cm. Cho biết hiệu số pha của hai dao động là π/3. Vận tốc của vật khi nó qua vị trí có li độ x = 12 cm là","Ta có: ω = 2πf = 20π (rad/s)
Biên độ tổng hợp A = √[A1^2 + A2^2 +2A1*A2*cos(φ2 - φ1)] (1)
Thay A1 = 7, A2 = 8, Δφ = φ2 - φ1 = π/3 vào (1), ta có: A = 13 (cm)
Áp dụng công thức độc lập khi li độ x = 12 cm: v = ±ω√(A^2 - x^2) = ±100π (cm/s)
*Lưu ý: Nguồn gốc của công thức độc lập được rút ra từ 2 phương trình x = Acos(ωt + φ) và v = -Aωsin(ωt + φ). Ta đưa cos(ωt + φ) và sin(ωt + φ) về 1 vế và áp dụng công thức cos(x)^2 + sin(x)^2 = 1. Từ đó ta có (x/A)^2 + (v/Aω)^2 = 1 => rút v ta được công thức độc lập như trên.",
Chuyển động của một vật là tổng hợp của hai dao động điều hòa cùng phương cùng tần số có các phương trình là: x1 = 4cos(10t + π/4) cm; x2 = 3 cos(10t + 3π/4) cm. Tìm vận tốc cực đại và gia tốc cực đại của vật,"Biên độ tổng hợp A = √[A1^2 + A2^2 +2A1*A2*cos(φ2 - φ1)] (1)
Thay A1 = 4, A2 = 3, φ1 = π/4, φ2 = 3π/4 vào (1), ta có: A = 5 (cm)
Vận tốc cực đại: vmax = A.ω = 5.10 = 50 (cm/s)
Gia tốc cực đại: amax = A.ω ^2 = 5*10^2 = 500 (cm/s^2)",
"Cho hai chất điểm dao động điều hoà cùng phương, cùng tần số, có phương trình dao động tương ứng là: x1 = A1cos(ωt + φ); x2 = A2cos(ωt + φ). Biết rằng 4x1^2 + 9x2^2 = 25. Khi chất điểm thứ nhất có li độ x1 = -2 cm , vận tốc bằng 9 m/s thì vận tốc của chất điểm thứ hai có độ lớn bằng","Ta có: 4x1^2 + 9x2^2= 25 (1)
Đạo hàm 2 vế theo thời gian, ta có:
8.x1.v1 + 18.x2.v2 = 0
<=> 4x1v1 + 9x2v2 = 0 (2)
Thay x1 = -2 vào (1) => x2 = ±1 (cm)
Thay x1 = -2, x2 = ±1, v1 = 900 vào (2), ta được v2 = 800 (cm/s) khi x2 = 1 (cm) và v2 = -800 (cm/s) khi x2 = -1 (cm)",
Một vật dao động điều hòa với phương trình x = Acos(ωt). Tỉ số giữa tốc độ trung bình và vận tốc trung bình khi vật đi được sau thời gian 3T/4 đầu tiên kể từ lúc bắt đầu dao động là,"Tại vị trí ban đầu vật ở biên dương (A)
Ta có: 3T/4 = T/2 + T/4 
Sau T/2 vật ở vị trí biên âm (-A)
Khoảng thời gian T/4 tiếp theo vật về lại vị trí cân bằng
Quãng đường vật đi được sau 3T/4 là: Sqd = 2A + A = 3A
Độ dời vật sau 3T/4 là:
Sdd = A
Tốc độ trung bình: v1tb = Sqd/t = 3A/(3T/4) = 4A/T
Vận tốc trung bình: v2tb = Sdd/t = A/(3T/4) = 4A/3T
Tỉ số: v1tb/v2tb = 3 ",
Một chất điểm dao động điều hòa trên trục Ox. Tốc độ trung bình của chất điểm tương ứng với khoảng thời gian thế năng không vượt quá 3 lần động năng trong 1 nửa chu kì là 300√3 (cm/s). Tốc độ cực đại của dao động là,"Ta có: Thế năng không vượt quá 3 lần động năng
Wt ​≤ 3Wđ
​Mà Wt = 1/2.k.x^2, Wđ = 1/2.k.(A^2-x^2) với k = m.ω^2
Từ đó, ta có: 1/2.k.x^2 ≤ 3/2.k.(A^2-x^2
<=> x^2 ≤ 3(A^2 - x^2)
<=> x^2 ≤ 3/4.A^2
<=> |x| ≤ √3/2.A
Giả sử vật bắt đầu tại vị trí biên dương (A), trong nửa chu kì vật sẽ tới vị trí biên âm (-A)
Quãng đường vật đi được trong khoảng thời gian trên với điều kiện |x| ≤ √3/2.A là: S = 2.√3/2.A = √3.A
Xét li độ x = √3/2.A => cos(φ) = √3/2 => φ = ± π/6
​Thời gian vật đi từ vị trí ban đầu tới vị trí x = √3/2.A là Δt = π/6ω = T/12
Thời gian thỏa mãn |x| ≤ √3/2.A trong nửa chu kì đầu là: t = T/2 - 2.T/12 = T/3
*Giải thích: thời gian không thỏa mãn |x| ≤ √3/2.A trong nửa chu kì đầu là khi vật đi từ vị trí A đến √3/2.A và từ √3/2.A đến -A.
Tốc độ trung bình: vtb = S/t = √3.A/(T/3) = 3√3.A/T = 300√3
=> A/T = 100
Ta có: vmax = ω.A = 2π.A/T = 2π.100 = 200π (cm/s)",
"Một vật dao động điều hòa với phương trình x = 6cos(2πt - π)cm. Tại thời điểm pha của dao động bằng 1/6 lần độ biến thiên pha trong một chu kì, tốc độ của vật bằng","Độ biến thiên pha trong 1 chu kì là: 2π
Thời điểm đề bài cho ứng với ωt + φ = 1/6.2π = π/3
Phương trình vận tốc trong dao động điều hòa:
v = -Aωsin(ωt + φ)
Thay A = 6, ω = 2π, ωt + φ = π/3 vào phương trình trên, ta được |v| = 6π√3 (cm/s)",
"Một con lắc lò xo gồm vật nặng có khối lượng m = 0,4kg và lò xo có độ cứng k = 100 N/m. Kéo vật ra khỏi VTCB 2 cm rồi truyền cho vật vận tốc đầu 15√5.π cm/s. Lấy π^2 = 10. Năng lượng dao động của vật là","Năng lượng dao động của vật là:
W = Wt + Wđ = 1/2.m.v^2 + 1/2.k.x^2
= 1/2.0,4.(15√5.π/100)^2 + 1/2.100.0,02^2 = 0,245 (J)",
"Một con lắc lò xo gồm viên bi nhỏ và lò xo nhẹ có độ cứng 100 N/m,dao động điều hòa với biên độ 0,1 m. Mốc thế năng ở vị trí cân bằng. Khi viên bi cách vị trí cân bằng 6cm thì động năng của con lắc bằng","Ta có: W  = Wt + Wđ
=> Wđ = W - Wt
             = 1/2.k.A^2 - 1/2.k.x^2
             = 1/2.100.0,1^2 - 1/2.100.0,06^2
             = 0,32 (J)
Vậy động năng của con lắc bằng 0,32 J",
"Một vật có khối lượng 50g, dao động điều hòa với biên độ 4cm và tần số góc 3rad/s. Động năng cực đại của vật là","Động năng cực đại của vật (cơ năng) đạt được khi v = vmax
vmax = A.ω = 0,04.3 = 0,12 (m/s)
Wđmax = 1/2.m.v^2 = 1/2.0,05.0,12^2 = 3,6.10^-4 (J)",
"Một con lắc lò xo có độ cứng 150 N/m, biên độ 4 cm. Cơ năng dao động là","Cơ năng: W = 1/2.k.A^2 = 1/2.150.0,04 = 0,12 (J)",
"Một vật nhỏ có khối lượng 2/π^2 (kg) dao động điều hòa với tần số 5 (Hz),và biên độ 5 cm. Tính cơ năng dao động","Cơ năng: W = 1/2.k.A^2 
                      = 1/2.m.ω^2.A^2
                      = 1/2.m.(2πf)^2.A^2
                      = 1/2.2/π^2.(2π.5)^2.0,05^2
                      = 0,25 (J)
Vậy cơ năng dao động bằng 0,25 J
",
Một vật có khối lượng 750 g dao động điều hòa với biên độ 4 cm và chu kì T = 2s. Tính năng lượng của dao động,"Cơ năng (năng lượng dao động): W = 1/2.k.A^2 
                      = 1/2.m.ω^2.A^2
                      = 1/2.m.(2π/T)^2.A^2
                      = 1/2.0,75.(2π/2)^2.0,04^2
                      = 5,92.10^-3 (J)
Vậy cơ năng dao động bằng 5,92.10^-3 J",
Một con lắc lò xo gồm lò xo có độ cứng 40 N/m gắn với quả cầu có khối lượng m. Cho quả cầu dao động với biên độ 5 cm. Hãy tính động năng của quả cầu ở vị trí ứng li độ 3 cm,"Ta có: W  = Wt + Wđ
=> Wđ = W - Wt
             = 1/2.k.A^2 - 1/2.k.x^2
             = 1/2.40.0,05^2 - 1/2.40.0,03^2
             = 0,032 (J)
Vậy động năng của quả cầu bằng 0,032 J",
Một vật nhỏ khối lượng 100g dao động điều hòa trên một quỹ đạo thẳng dài 20cm với tần số góc 6 rad/s. Cơ năng của vật dao động này là,"Quỹ đạo thẳng dài: L = 2A = 20 
=> A = 10 (cm) = 0,1(m)
Cơ năng: W = 1/2.k.A^2 = 1/2.m.ω^2.A^2 = 0,018 (J)",
Con lắc lò xo gồm vật nhỏ khối lượng 100g gắn với một lò xo nhẹ. Con lắc dao động điều hòa theo phương ngang với phương trình x = 10cos10πt (cm). Mốc thế năng ở vị trí cân bằng. Lấy π^2 = 10. Cơ năng của con lắc bằng,"Cơ năng: W = 1/2.k.A^2 = 1/2.m.ω^2.A^2 = 1/2.0,1.(10π)^2.0,1^2 = 0,5 (J)",
"Một con lắc lò xo có độ cứng k = 150N/m và có năng lượng dao động là 0,12J. Biên độ dao động của nó là","W = 1/2.k.A^2 <=> 0,12 = 1/2.150.A^2 => A = 0,04 (m)",
"Biết phương trình li độ của một vật có khối lượng 0,2kg dao động điều hòa là: x = 5cos(20t) cm 
a. Tính cơ năng trong quá trình dao động.
b. Viết biểu thức thế năng và động năng.","a. Cơ năng (W) = 1/2.k.A^2 =  1/2.m.ω^2.A^2 = 1/2.0,2.(20)^2.0,05^2 = 0,1 (J)
b. Wđ = 1/2.m.ω^2.A^2.sin^2(ωt + φ) = 0,1sin^2(20t) (J)
Wt = 1/2.m.ω^2.A^2.cos^2(ωt + φ) = 0,1cos^2(20t) (J)",
